open_time,close,volume
2023-08-29,21.79,5271801.95
2023-08-30,20.82,2462706.77
2023-08-31,19.74,3342646.88
2023-09-01,19.33,2517375.38
2023-09-02,19.5,1419243.59
2023-09-03,19.57,1032117.62
2023-09-04,19.52,2206040.45
2023-09-05,20.26,4197171.75
2023-09-06,19.64,3429947.48
2023-09-07,19.92,2375627.15
2023-09-08,19.61,1972054.86
2023-09-09,19.44,646379.52
2023-09-10,18.24,5630975.71
2023-09-11,17.72,4755172.77
2023-09-12,17.92,4818249.11
2023-09-13,18.4,4063710.36
2023-09-14,18.85,4397747.38
2023-09-15,19.14,2087888.26
2023-09-16,19.12,1416418.73
2023-09-17,18.81,1073239.72
2023-09-18,19.64,3731851.86
2023-09-19,20.03,3110481.29
2023-09-20,20.29,2588399.2
2023-09-21,19.46,2959370.24
2023-09-22,19.43,1857771.33
2023-09-23,19.49,897913.0
2023-09-24,19.36,1091026.97
2023-09-25,19.39,1702995.14
2023-09-26,19.03,1977195.6
2023-09-27,19.14,2446438.2
2023-09-28,19.96,2804835.46
2023-09-29,20.28,2724984.42
2023-09-30,21.37,3565357.52
2023-10-01,23.87,6416328.5
2023-10-02,23.37,6313085.51
2023-10-03,23.6,5894722.26
2023-10-04,23.13,3945261.33
2023-10-05,22.7,3287722.78
2023-10-06,23.41,4366362.12
2023-10-07,23.3,2949841.72
2023-10-08,23.22,1934466.13
2023-10-09,22.1,4186290.48
2023-10-10,22.11,2334716.24
2023-10-11,22.01,2734211.94
2023-10-12,21.28,2921129.02
2023-10-13,21.84,2403623.09
2023-10-14,22.0,1303774.54
2023-10-15,21.93,1455965.78
2023-10-16,23.95,6973642.82
2023-10-17,23.93,4456015.31
2023-10-18,23.42,2982409.96
2023-10-19,24.93,5889168.99
2023-10-20,27.03,7266627.01
2023-10-21,29.32,9576358.72
2023-10-22,29.05,5567480.03
2023-10-23,31.88,12178546.11
2023-10-24,30.17,11152278.09
2023-10-25,32.44,10582632.89
2023-10-26,32.77,6940180.71
2023-10-27,31.73,6273331.35
2023-10-28,31.63,2594478.41
2023-10-29,32.83,3483834.9
2023-10-30,34.94,7627255.13
2023-10-31,38.4,9267665.69
2023-11-01,41.15,19486359.98
2023-11-02,40.23,14743830.91
2023-11-03,39.45,10290073.48
2023-11-04,42.41,7452581.71
2023-11-05,41.15,4117962.39
2023-11-06,42.16,4866558.59
2023-11-07,42.93,8826660.47
2023-11-08,43.13,4580371.01
2023-11-09,45.29,12546941.33
2023-11-10,56.67,14708555.35
2023-11-11,56.34,13790858.3
2023-11-12,56.28,10246085.39
2023-11-13,51.6,11066863.24
2023-11-14,56.81,12213778.24
2023-11-15,65.43,12800109.28
2023-11-16,57.8,13868327.04
2023-11-17,58.51,11968303.78
2023-11-18,58.56,7374946.5
2023-11-19,61.1,7009650.09
2023-11-20,56.57,7127562.28
2023-11-21,51.65,10741088.9
2023-11-22,57.56,7891464.65
2023-11-23,56.51,4925635.15
2023-11-24,56.86,3905651.92
2023-11-25,58.82,4095129.28
2023-11-26,57.57,3097837.47
2023-11-27,55.06,4618869.6
2023-11-28,58.18,5642915.95
2023-11-29,59.31,7574392.84
2023-11-30,59.3,4597104.01
2023-12-01,59.75,5422494.06
2023-12-02,63.66,4898503.76
2023-12-03,62.98,4675198.65
2023-12-04,61.64,7696216.19
2023-12-05,61.03,6032438.26
2023-12-06,61.85,11121135.68
2023-12-07,67.74,10648583.32
2023-12-08,74.94,11314830.348
2023-12-09,72.3,8809964.3
2023-12-10,74.87,5886808.01
2023-12-11,70.25,12970688.47
2023-12-12,68.6,7763463.64
2023-12-13,70.62,8271925.44
2023-12-14,75.68,7493589.41
2023-12-15,72.51,8834567.44
2023-12-16,73.72,5513079.61
2023-12-17,70.87,5108641.26
2023-12-18,74.42,7219822.33
2023-12-19,73.0,6086806.16
2023-12-20,82.21,10701294.29
2023-12-21,93.84,12129644.35
2023-12-22,97.9,11975121.56
2023-12-23,107.88,8336420.6
2023-12-24,112.45,12261699.03
2023-12-25,120.91,11114497.92
2023-12-26,112.49,12300095.38
2023-12-27,106.91,8972638.9
2023-12-28,101.8,10194201.02
2023-12-29,106.17,9432538.67
2023-12-30,101.9,4178339.62
2023-12-31,101.72,3821990.67
2024-01-01,109.91,4403310.37
2024-01-02,106.73,7831366.05
2024-01-03,98.52,12221060.38
2024-01-04,104.91,7235482.95
2024-01-05,99.94,6703567.21
2024-01-06,93.77,5151478.03
2024-01-07,89.44,5547334.15
2024-01-08,97.88,9677497.13
2024-01-09,99.36,8574930.67
2024-01-10,102.0,8634280.07
2024-01-11,99.9,8986682.95
2024-01-12,92.12,6462190.24
2024-01-13,95.85,4054010.92
2024-01-14,93.81,5767904.66
2024-01-15,94.36,3605978.31
2024-01-16,97.61,3768288.08
2024-01-17,102.1,6932306.54
2024-01-18,94.4,6216673.0
2024-01-19,93.62,6357442.75
2024-01-20,92.88,2799385.87
2024-01-21,91.09,2013751.83
2024-01-22,83.84,7065444.82
2024-01-23,84.35,8284305.33
2024-01-24,88.77,6058894.15
2024-01-25,86.91,4002698.2
2024-01-26,92.28,4693818.55
2024-01-27,94.28,2735837.45
2024-01-28,95.98,5618408.23
2024-01-29,101.68,5772519.82
2024-01-30,101.4,6990527.25
2024-01-31,96.96,8609956.87
2024-02-01,97.81,6556006.07
2024-02-02,100.58,5487861.84
2024-02-03,97.96,2787373.11
2024-02-04,95.49,2914876.34
2024-02-05,95.66,3891146.06
2024-02-06,96.88,4279238.07
2024-02-07,101.14,4577672.06
2024-02-08,102.76,5082811.46
2024-02-09,106.94,6686758.45
2024-02-10,109.01,3939526.49
2024-02-11,107.46,2755398.4
2024-02-12,111.64,6169652.05
2024-02-13,112.48,5622825.56
2024-02-14,116.97,4884824.42
2024-02-15,113.5,4927735.5
2024-02-16,110.33,3947132.77
2024-02-17,108.92,2897705.67
2024-02-18,112.24,3083833.73
2024-02-19,111.53,3746704.95
2024-02-20,108.31,5676734.13
2024-02-21,105.03,4752688.01
2024-02-22,101.76,3905642.33
2024-02-23,99.9,3546853.99
2024-02-24,104.01,2334116.02
2024-02-25,103.47,1967184.81
2024-02-26,109.9,5392138.71
2024-02-27,108.36,6198163.52
2024-02-28,119.03,11832282.01
2024-02-29,125.68,13847087.32
2024-03-01,129.43,8376631.09
2024-03-02,130.02,4693251.94
2024-03-03,130.16,5228370.86
2024-03-04,133.27,8053684.79
2024-03-05,125.31,17035242.52
2024-03-06,130.79,9581617.48
2024-03-07,143.82,10952975.3
2024-03-08,144.79,8096745.65
2024-03-09,144.29,3686876.81
